Seria pomiarowa: 0
Godzina poczatkowa: 6:00, Godzina koncowa: 20:00
Dzielnik, Panel, Temperatura, Czas [s]
320,3.43,10.45,33.13
321,2.87,8.75,33.06
322,3.33,10.15,33.06
323,2.80,8.54,33.00
324,4.21,12.84,32.94
325,2.90,8.84,32.88
326,1.65,5.04,32.88
327,3.13,9.56,32.81
328,3.18,9.70,32.75
329,1.87,5.69,32.69
330,3.15,9.62,32.69
331,3.62,11.05,32.63
332,2.93,8.93,32.56
333,2.65,8.08,32.56
334,4.87,14.85,32.50
335,2.30,7.01,32.50
336,3.87,11.81,32.44
337,3.55,10.82,32.38
338,1.83,5.59,32.38
339,4.20,12.82,32.31
340,2.91,8.87,32.31
341,2.92,8.91,32.25
342,1.75,5.35,32.25
343,1.22,3.71,32.19
344,4.14,12.63,32.13
345,1.69,5.14,32.13
346,1.86,5.68,32.06
347,2.86,8.74,32.06
348,2.86,8.72,32.00
349,3.80,11.60,31.94
350,2.50,7.63,31.87
351,3.34,10.18,31.87
352,3.69,11.25,31.81
353,1.58,4.82,31.75
354,4.60,14.04,31.75
355,2.98,9.08,31.69
356,2.87,8.75,31.69
357,3.07,9.38,31.62
358,3.12,9.53,31.62
359,3.22,9.82,31.56
360,1.68,5.11,31.56
361,4.39,13.39,31.50
362,4.15,12.66,31.44
363,2.88,8.78,31.44
364,3.00,9.15,31.37
365,2.72,8.29,31.37
366,2.93,8.93,31.31
367,2.73,8.32,31.31
368,4.46,13.61,31.25
369,2.98,9.08,31.25
370,3.31,10.11,31.19
371,2.95,8.99,31.19
372,1.69,5.14,31.12
373,1.26,3.83,31.12
374,2.92,8.90,31.06
375,3.48,10.60,31.06
376,3.71,11.31,31.06
377,3.52,10.75,31.00
378,2.74,8.36,30.94
379,3.29,10.03,30.94
380,2.01,6.14,30.87
381,1.24,3.79,30.87
382,1.30,3.95,30.81
383,2.44,7.44,30.81
384,3.02,9.20,30.81
385,3.60,10.97,30.75
386,1.58,4.82,30.75
387,3.18,9.70,30.69
388,3.60,10.97,30.69
389,1.66,5.05,30.62
390,2.89,8.83,30.62
391,1.26,3.83,30.56
392,1.39,4.25,30.56
393,2.92,8.91,30.50
394,2.33,7.10,30.50
395,0.94,2.88,30.50
396,0.99,3.03,30.50
397,3.00,9.15,30.44
398,4.02,12.27,30.44
399,3.64,11.09,30.44
400,1.53,4.68,30.37
