Seria pomiarowa: 2
Opis serii pomiarowej: Wychylanie panelu, obrót dokoła osi, duże nasłonecznienie
Data: 15.09.2021, Godzina poczatkowa: 09:00, Godzina koncowa: 19:00, Pogoda: 
Pomiar, Dzielnik, Panel, Temperatura, SredniaFoto
276,2.05,6.26,22.19,4.55
277,2.31,7.05,22.19,4.56
278,1.33,4.07,22.19,4.56
279,1.14,3.47,22.19,4.48
280,2.00,6.11,22.19,4.55
281,2.15,6.56,22.19,4.56
282,2.08,6.35,22.19,4.56
283,2.10,6.41,22.19,4.56
284,2.09,6.37,22.19,4.55
285,2.10,6.40,22.19,4.55
286,2.23,6.80,22.19,4.55
287,2.10,6.40,22.19,4.56
288,1.90,5.78,22.19,4.55
289,1.89,5.77,22.19,4.56
290,2.32,7.08,22.19,4.54
291,1.92,5.86,22.19,4.56
292,1.67,5.08,22.19,4.58
293,2.29,6.99,22.19,4.55
294,2.00,6.10,22.19,4.51
295,1.98,6.05,22.19,4.55
296,2.07,6.32,22.19,4.55
297,1.94,5.90,22.19,4.54
298,2.24,6.83,22.19,4.50
299,2.16,6.59,22.19,4.54
300,1.30,3.97,22.19,4.52
301,2.93,8.94,22.19,4.64
302,2.13,6.48,22.19,4.56
303,2.19,6.69,22.19,4.54
304,2.03,6.20,22.19,4.54
305,2.01,6.14,22.19,4.54
306,2.23,6.81,22.19,4.54
307,2.18,6.66,22.19,4.55
308,2.51,7.66,22.19,4.52
309,2.69,8.21,22.19,4.58
310,2.17,6.62,22.19,4.61
311,1.17,3.58,22.19,4.50
312,2.54,7.75,22.19,4.66
313,2.17,6.60,22.19,4.57
314,1.64,4.99,22.19,4.54
315,2.07,6.31,22.19,4.55
316,2.12,6.47,22.19,4.56
317,2.11,6.44,22.19,4.55
318,2.16,6.57,22.19,4.54
319,2.12,6.47,22.19,4.50
320,2.22,6.77,22.19,4.54
321,1.96,5.96,22.19,4.54
322,2.07,6.31,22.19,4.55
323,1.84,5.61,22.19,4.54
324,2.06,6.29,22.19,4.54
325,2.28,6.95,22.19,4.54
326,2.32,7.08,22.19,4.54
327,2.61,7.96,22.19,4.54
328,2.09,6.38,22.19,4.54
333,1.34,4.08,22.19,4.44
334,2.75,8.38,22.19,4.47
335,2.36,7.19,22.19,4.46
336,1.83,5.59,22.19,4.48
337,2.37,7.23,22.19,4.48
338,2.11,6.42,22.19,4.47
351,2.30,7.01,22.19,4.47
352,2.56,7.80,22.19,4.46
353,3.20,9.75,22.19,4.47
354,1.57,4.80,22.19,4.49
355,2.96,9.02,22.19,4.53
359,2.28,6.96,22.19,4.47
362,2.07,6.31,22.19,4.46
363,2.02,6.17,22.19,4.47
364,2.48,7.56,22.19,4.47
365,1.69,5.14,22.19,4.47
366,2.49,7.60,22.19,4.47
367,2.03,6.20,22.19,4.47
368,2.38,7.26,22.19,4.47
369,2.12,6.47,22.19,4.48
370,2.09,6.38,22.19,4.47
371,2.40,7.32,22.19,4.48
372,2.80,8.54,22.19,4.62
374,2.11,6.44,22.19,4.48
375,1.49,4.53,22.19,4.43
378,2.13,6.50,22.19,4.48
379,2.87,8.75,22.19,4.39
